id	name	category	lat	lng	address	description	dogFriendlyScore	routePriorityScore	accessibilityScore	safetyScore	dogSizeAllowed	indoorAllowed	parkingAvailable	reservationRequired	leashRequired	source	lastChecked	notes
park-dukyi-002	덕이근린1	PARK	37.701779	126.7544876	경기 고양시 일산서구 덕이동 산145-1	덕이동 내부 짧은 산책 후보. 보호자 운동 병행 가능.	3	3	4	3	SMALL|MEDIUM|LARGE	FALSE		FALSE	TRUE	전국도시공원 지도|우리천사	2026-05-10	반려견 산책 안내, 목줄 표지판, 쓰레기통, 조명, 배변봉투함 온라인 확인 부족.
park-dukyi-003	덕이근린2	PARK	37.69601631	126.7494325	경기 고양시 일산서구 덕이동 산131-7	짧은 동네 산책 보조 후보. 조용한 루트 구성용.	3	3	3	3	SMALL|MEDIUM|LARGE	FALSE		FALSE	TRUE	클럽리치투어	2026-05-10	반려견 산책 가능 안내, 조명, 벤치, 쓰레기통, 배변처리 편의 온라인 확인 부족.
cafe-mojjine-hocance-001	모찌네 호캉스	CAFE	37.437092	127.1410013	경기 성남시 중원구 산성대로 202 성남빌딩 4층	애견카페 겸 애견호텔·놀이방 운영 후보. 1인 입장료 1만원, 매너벨트·예방접종 등 이용 제한 확인 필요.	4	4	4	4	SMALL|MEDIUM	TRUE	FALSE	FALSE	TRUE	팀원조사; 주소좌표 확인: jusoga/findby	2026-05-18	운영시간 14:00~20:00, 목요일 정기휴무. 중성화 안 됨/마킹 심한 경우 매너벨트 필수, 예방접종·생리·전염병·입질/난폭 행동 제한.
hospital-raeon-001	래온 동물병원	HOSPITAL	37.4350665	127.1383914	경기 성남시 중원구 광명로 89 센트럴푸르지오시티 134, 135호	치과·심장초음파·슬개골탈구·피부·수술 진료 후보 동물병원.	3	5	4	4	SMALL|MEDIUM|LARGE	TRUE	FALSE	TRUE	TRUE	팀원조사; 주소좌표 확인: findby/업체창고	2026-05-18	운영시간 09:30~20:00, 휴게시간 12:30~13:30, 일요일 정기휴무. 예약 필요 여부와 주차 가능 여부는 최종 확인 필요.
store-kangkangpet-taepyeong-001	캉캉펫 태평점	PET_STORE	37.44294	127.13583	경기 성남시 수정구 탄리로 77 1층	사료·간식·옷·리드줄·배변패드·산책용품 등 취급 반려동물 용품점.	3	4	4	3	SMALL|MEDIUM	TRUE	FALSE	FALSE	TRUE	팀원조사; 주소 확인: 114On/ZiwiPets; 좌표는 인접 주소 기준 보정	2026-05-18	운영시간 10:00~20:30, 1·3번째 월요일 정기휴무. 좌표는 탄리로 76·79-1 인접 좌표를 기준으로 보정했으므로 최종 지도 확인 권장.
store-amudoeopgae-seongnam-sinheung-001	아무도없개 성남신흥점	PET_STORE	37.44237478	127.1440902	경기 성남시 수정구 시민로156번길 7-1 1층	24시간 무인 반려용품 편의점. 수제 간식 판매.	3	4	4	3	SMALL|MEDIUM	TRUE	FALSE	FALSE	TRUE	팀원조사; 주소 확인: 업체창고; 좌표는 시민로156번길 7 기준	2026-05-18	팀원 파일에는 '아무도없개 수진점'으로 기재되어 있으나, 같은 주소의 웹 정보는 '아무도없개 성남신흥점'으로 확인됨. 지점명 최종 확인 필요.
park-seongnam-1st-industrial-park-001	제1공단근린공원·성남시 박물관 옥상 반려견놀이터	PARK	37.4468	127.1501	경기 성남시 수정구 희망로 475 성남시 박물관	성남시 박물관 5층 옥상 반려견놀이터가 있는 산책 후보지. 소형견 위주 이용.	4	4	4	4	SMALL	FALSE	TRUE	FALSE	TRUE	팀원조사; 성남시박물관/반려견놀이터 웹확인	2026-05-18	팀원 파일의 '희망대근린공원/신흥동 2460-5' 정보는 성남시 박물관·제1공단근린공원과 연결되는 내용으로 보임. 이용대상 소형견 체고 40cm, 8kg 미만, 운영시간 09:30~17:30, 월요일 휴무.
toilet-seongnam-museum-dog-playground-001	성남시 박물관 옥상 반려견놀이터 배변봉투함	TOILET	37.44685	127.15015	경기 성남시 수정구 희망로 475 성남시 박물관 5층 옥상	반려견 놀이터 내 배변봉투함 비치 후보.	4	4	4	4	SMALL	FALSE	TRUE	FALSE	TRUE	팀원조사; 성남시박물관 반려견놀이터 후기 웹확인	2026-05-18	배변봉투함 비치 정보는 팀원 조사 기준. 실제 봉투 재고·위생 상태는 현장 확인 필요.
park-yeongjang-001	영장근린공원	PARK	37.45115107	127.1380153	경기 성남시 수정구 태평동 224-3	자연수림대와 산책로가 있는 근린공원. 그늘이 많고 상시 개방.	4	4	3	4	SMALL|MEDIUM|LARGE	FALSE	TRUE	FALSE	TRUE	팀원조사; 열린관광/ktourmap/yoonoo 위치정보 확인	2026-05-18	목줄 착용, 맹견 입마개 착용. 주차 가능 자료 있음. 정확한 반려견 안내 표지와 배변시설은 현장 확인 필요.
park-seongnam-sports-ssireum-001	성남종합운동장 씨름장 근처 녹지 후보	PARK	37.43179484	127.139465	경기 성남시 중원구 제일로 60 성남종합운동장	성남종합운동장 씨름장 주변 녹지 후보. 공원 여부와 반려견 산책 가능 여부 확인 필요.	2	2	4	3	SMALL|MEDIUM|LARGE	FALSE	TRUE	FALSE	TRUE	팀원조사; 성남시 공공체육시설/성남종합운동장 좌표 자료 확인	2026-05-18	팀원 파일에서 주소 미기재. 웹상 성남종합운동장 주소와 씨름장 위치는 확인되지만, '공원' 핀으로 등록할지는 보류 권장. 현장 확인 후 유지/삭제 결정.
